symbol,name,exchange,yf_symbol
AMRAAGRI,Amraworld Agrico Ltd.,BSE,AMRAAGRI.BO
AMRAFIN,Amrapali Fincap Limited,BSE,AMRAFIN.BO
AMRAPLIN,Amrapali Industries Ltd,BSE,AMRAPLIN.BO
AMRUTANJAN,Amrutanjan Health Care Limited,NSE+BSE,AMRUTANJAN.NS
AMS,AMS POLYMERS LIMITED,BSE,AMS.BO
AMTL,ADVANCE METERING TECHNOLOGY LIMITED,BSE,AMTL.BO
AMWILL,Amwill Health Care Limited,BSE,AMWILL.BO
ANANDPROJ,Anand Projects Ltd,BSE,ANANDPROJ.BO
ANANDRATHI,Anand Rathi Wealth Limited,NSE+BSE,ANANDRATHI.NS
ANANTRAJ,Anant Raj Limited,NSE+BSE,ANANTRAJ.NS
ANDHRAPAP,ANDHRA PAPER LIMITED,NSE+BSE,ANDHRAPAP.NS
ANDHRAPET,Andhra Petrochemicals Ltd.,BSE,ANDHRAPET.BO
ANDHRSUGAR,The Andhra Sugars Limited,NSE+BSE,ANDHRSUGAR.NS
ANDREWYU,Andrew Yule & Company Ltd,BSE,ANDREWYU.BO
ANG,ANG Lifesciences India Limited,BSE,ANG.BO
ANGEL,Angel Fibers Limited,BSE,ANGEL.BO
ANGELONE,Angel One Limited,NSE+BSE,ANGELONE.NS
ANIKINDS,Anik Industries Limited,NSE+BSE,ANIKINDS.NS
ANIRIT,ANIRIT VENTURES LIMITED,BSE,ANIRIT.BO
ANIRITPP,ANIRIT VENTURES LIMITED,BSE,ANIRITPP.BO
ANJANI,Anjani Synthetics Limited,BSE,ANJANI.BO
ANJANIFIN,Anjani Finance Ltd,BSE,ANJANIFIN.BO
ANJANIFOODS,Anjani Foods Limited,BSE,ANJANIFOODS.BO
ANKIN,Anka India Ltd.,BSE,ANKIN.BO
ANKITMETAL,Ankit Metal & Power Limited,NSE+BSE,ANKITMETAL.NS
ANL,Accretion Nutraveda Limited,BSE,ANL.BO
ANMOL,Anmol India Limited,NSE+BSE,ANMOL.NS
ANNAINFRA,Anna Infrastructures Ltd,BSE,ANNAINFRA.BO
ANNVRPP,ANNVRRIDHHI VENTURES LIMITED,BSE,ANNVRPP.BO
ANSALAPI,Ansal Properties & Infrastructure Limited,NSE+BSE,ANSALAPI.NS
ANSALBU,Ansal Buildwell Ltd.,BSE,ANSALBU.BO
ANSALHSG,ANSAL HOUSING LIMITED,BSE,ANSALHSG.BO
ANTARIKSH,ANTARIKSH INDUSTRIES LIMITED,BSE,ANTARIKSH.BO
ANTELOPUS,Antelopus Selan Energy Limited,NSE+BSE,ANTELOPUS.NS
ANTGRAPHIC,Antarctica Limited,NSE,ANTGRAPHIC.NS
ANTHEM,Anthem Biosciences Limited,NSE+BSE,ANTHEM.NS
ANUHPHR,Anuh Pharma Limited,NSE+BSE,ANUHPHR.NS
ANUP,The Anup Engineering Limited,NSE+BSE,ANUP.NS
ANUPAM,ANUPAM FINSERV LIMITED,BSE,ANUPAM.BO
ANURAS,Anupam Rasayan India Limited,NSE+BSE,ANURAS.NS
ANUROOP,Anuroop Packaging Limited,BSE,ANUROOP.BO
ANVRDHI,ANNVRRIDHHI VENTURES LIMITED,BSE,ANVRDHI.BO
APARINDS,Apar Industries Limited,NSE+BSE,APARINDS.NS
APCL,Anjani Portland Cement Limited,NSE+BSE,APCL.NS
APCOTEXIND,Apcotex Industries Limited,NSE+BSE,APCOTEXIND.NS
APEX,Apex Frozen Foods Limited,NSE+BSE,APEX.NS
APIS,Apis India Ltd,BSE,APIS.BO
APL,ASSTON PHARMACEUTICALS LIMITED,BSE,APL.BO
APLAB,Aplab Ltd.,BSE,APLAB.BO
APLABPP,Aplab Ltd.,BSE,APLABPP.BO
APLAPOLLO,APL Apollo Tubes Limited,NSE+BSE,APLAPOLLO.NS
APLLTD,Alembic Pharmaceuticals Limited,NSE+BSE,APLLTD.NS
APMIN,APM Industries Ltd.,BSE,APMIN.BO
APOLLO,Apollo Micro Systems Limited,NSE+BSE,APOLLO.NS
APOLLOFI,Apollo Finvest (India) Ltd.,BSE,APOLLOFI.BO
APOLLOHOSP,Apollo Hospitals Enterprise Limited,NSE+BSE,APOLLOHOSP.NS
APOLLOPIPE,Apollo Pipes Limited,NSE+BSE,APOLLOPIPE.NS
APOLLOTYRE,Apollo Tyres Limited,NSE+BSE,APOLLOTYRE.NS
APOLSINHOT,Apollo Sindoori Hotels Limited,NSE,APOLSINHOT.NS
APOORVA,Apoorva Leasing Finance & Investment Company Limited,BSE,APOORVA.BO
APPL,Aptus Pharma Limited,BSE,APPL.BO
APTECHT,Aptech Limited,NSE+BSE,APTECHT.NS
APTPACK,Apt Packaging Ltd,BSE,APTPACK.BO
APTUS,Aptus Value Housing Finance India Limited,NSE+BSE,APTUS.NS
AQYLON,Aqylon Nexus Limited,NSE+BSE,AQYLON.NS
ARAVALIS,Aravali Securities & Finance Ltd.,BSE,ARAVALIS.BO
ARCEEIN,Arcee Indusrtries ltd.,BSE,ARCEEIN.BO
ARCFIN,ARC Finance Limited,BSE,ARCFIN.BO
ARCHIDPLY,Archidply Industries Limited,NSE+BSE,ARCHIDPLY.NS
ARCHIES,Archies Limited,NSE+BSE,ARCHIES.NS
ARCHITORG,Archit Organosys Limited,BSE,ARCHITORG.BO
ARCL,ARCL Organics Ltd,BSE,ARCL.BO
ARE&M,Amara Raja Energy & Mobility Limited,NSE+BSE,ARE&M.NS
ARENTERP,Rajdarshan Industries Limited,NSE+BSE,ARENTERP.NS
AREXMIS,Arex Industries Ltd.,BSE,AREXMIS.BO
ARFIN,Arfin India Limited,NSE+BSE,ARFIN.NS
ARIES,Aries Agro Limited,NSE+BSE,ARIES.NS
ARIGATO,ARIGATO UNIVERSE LIMITED,BSE,ARIGATO.BO
ARIHANT,Arihant Foundations & Housing Limited,NSE+BSE,ARIHANT.NS
ARIHANTCAP,Arihant Capital Markets Limited,NSE+BSE,ARIHANTCAP.NS
ARIHANTSUP,Arihant Superstructures Limited,NSE+BSE,ARIHANTSUP.NS
ARIS,Arisinfra Solutions Limited,NSE+BSE,ARIS.NS
ARISE,Arihants Securities ltd.,BSE,ARISE.BO
ARITAS,Aritas Vinyl Limited,BSE,ARITAS.BO
ARKADE,Arkade Developers Limited,NSE+BSE,ARKADE.NS
ARL,Anand Rayons Limited,BSE,ARL.BO
ARMAN,Arman Holdings Limited,BSE,ARMAN.BO
ARMANFIN,Arman Financial Services Limited,NSE+BSE,ARMANFIN.NS
ARNOLD,Arnold Holdings Ltd,BSE,ARNOLD.BO
AROGRANITE,Aro Granite Industries Limited,NSE+BSE,AROGRANITE.NS
ARROWGREEN,Arrow Greentech Limited,NSE+BSE,ARROWGREEN.NS
ARROWHEAD,Arrowhead Seperation Engineering Limited,BSE,ARROWHEAD.BO
ARSHIYA,Arshiya Limited,NSE+BSE,ARSHIYA.NS
